nouns,label
몸무게,22
차 지하철 숨쉬기 어려움,8
정수리 편 머리 전기 찌릿 듯,6
인플란트 식 립하 골다공증 주사 생각,14
얼굴 헤르페스 전조 증상,6
수술 장마 비 폐색,4
배 가스 차고 배,4
두통,6
충수염 수술 구토,4
흑색 변,4
아이 볼거리,7
연속 복통,4
목 현상,7
밥 뱃살,4
저혈압 호흡 곤란,23
비염 주파 하비 갑 절제 술 대하 전문의,7
알프 람정,8
흑색 변,4
입술,7
손톱,0
피임 약 복용 항생제,25
더위 안약 인공 눈물 냉장 보관,5
간암 유전자 검사 결과,4
약간 부정맥 고지혈증 처방,23
차 접종,25
음식물 섭취 때 꿀꺽 꿀꺽 저절로 건가,4
한약 간,24
헬리 코박터 파일 로리 균 치료 중 변모,18
기립 저혈압 줄 불안 정성 협심증,23
자고 코 걸,7
새벽 흉통,23
큐 수술 전후 권고 이유,0
콧물 가래 초록색 알갱이,7
잇몸 염증 구내염,7
머리 정수리 편 전기,6
배 여기저기,4
평상시 심박수 기립 저혈압 증세,23
급성 호흡 곤란 증후군,2
왼쪽 가슴 통증 새벽 협심증,23
빈혈 호흡 불 증상,9
오른쪽 정수리 전기,6
아이 연기 때,2
목,7
목 가래 소리 숨,7
아침 피로,24
복통 가슴 심장 통증 구분,23
코로나 증상 머리 열도 기침,2
은박,21
코로나 물 설사,4
명치 설사,4
변색,4
역류성 식도염 숨 수,2
방금 트림 원리 질문,4
인중 피부 구진,0
트림 원리,4
번 위경련,4
모기 때 모기 침 입,18
예방접종 부위 하루,0
혹시 가래 천식,2
간수치,4
자두 씨,24
청소년 우울증 년 대학병원,8
글루타민 섭취 시간 섭취 량,24
정액 손가락 삽입 통한 임신 사례,25
임신 가능성 성기 삽입 일체,25
직접 삽입 임신,25
목 물감,7
목 현상,7
임신 가능성,25
피임 약 임신 가능성,25
목 물감 호흡 곤란,7
자두,4
빈혈 사람 철분,9
니코틴 검사,2
전립선염 도움 양제,25
요실금,26
임신 혈액 검사 결과,25
임신 가능성,25
장애 흡인 폐렴 문의,2
식도 역류 기도,2
자궁 선근 증 증상 호전 방법,25
마그네슘 보충 질문,4
세로자트 철분,9
임신,25
몸 털,0
에스 졸정 라미 액,4
소화기관 두통 가요,6
천식 원래,2
콘돔 관계 때 당일 피임 약 복용,25
숨 힘 듭니,2
장애 음식 기침 꿈 병원 가야,11
피부 과 휴지 탈모증 판명,0
피임 약 생리 안함,25
에스 졸정 은 라미 액 복용,4
심박수 후 갑상선 항진 증 증상,22
키 성장 건강 기능 식품,24
자궁 내 정자 생존 기간 정액량 관계,25
입원 중 수동 혈압 재고 팔 상처,0
갑상선 수치 정상 갑상선 호르몬 수체,22
헬리 코박터 파일 로리 균 치료 약,18
자꾸 신경 병원 방문,8
간과 눈 충혈,5
천공 질문,4
중 생리,25
간이 눈 충혈,5
소화기관 천공 등 생명 지장 질환 발생 가능성,4
멀미 얼굴 이유,4
새끼손가락,6
폐 심장 똑 똑 소리,23
식사 도중 사람 등 손바닥 치면,4
가슴 통증 때 오른쪽,23
오른쪽 복부 시작 불편 감 해결,4
임기 냉 시기 질문,25
아침 오른쪽 가슴 낮,13
식사 가슴,23
복부 통,4
충녹증,7
임신,25
잇몸,14
피임 약 복용 항생제,25
심장 검사 비용,23
음식물 입 위 평균 시간,4
간과 눈썹,0
형 간염 항원 항체,4
발 뒤꿈치 부분 통증,20
전신 근육,6
미녹시딜 복용,0
임신 가능성,25
테트락심 예방접종 햊빛,27
목 가슴 팍 식후 목 가슴 팍 감,4
추가 사후 피임 약 처방 복용,25
혈토 혈변,4
농축 비타민 중,24
손톱 밑 영양소 건가,24
혈토 혈변,4
신생아 목욕 때 때,0
링겔 뒤 피멍,0
혈압 약,23
탐폰 이용 독성 쇼크 증후군,25
심장 쿵 기분,23
위 내시경 왼쪽 배 욱신거림,4
편두통,6
위장 장애 입냄새,4
양제,24
피부 오일 페이퍼 사용,0
신생아 눈 마 플러스 스프레이 분사 액,5
복통 변,4
피임 약,25
술 양제 복용,4
라면 덜 습관,4
배,4
설사 내과 가면,4
다시 식도암 증상,4
음식,4
거미줄,4
무릎 장판,20
단핵구 수치,9
프리바이오틱스 유산균 매일 효과,4
축농증 약,7
기침 헛구역질 자칫 복강 내출혈 수,4
혹시 물 캡슐 알약 먼저 때 목 날 수,7
양제 성조숙증,24
데소나 크림,0
청소년 비타 치 때 키 성장 방해,2
아스타 펜 정이 건가,13
역류성 식도염 후두 염 차이점,4
숙면 취하 위해 병원 도움,8
복용,24
심장,23
목 통증,7
채혈 멍,9
전 심장 통증 폐쪽 통증 어디 병원 가야,23
어머니 혀 정말 음식,7
물 동안 소변 얼마,28
혹시 형 간염 혈액 감염 질병 감염,4
생리 날 편두통,25
생리 편두통 눈데,25
생리 여성 청결 제로 질 세척 해도,25
능 장애,22
여드름 스트레스,0
연어 셀러 드 비 브리 패혈증,18
왼쪽 엄지 근처 쥐 다음 날 자리 피멍,0
목 스트레칭 혈관,11
때 왼쪽 가슴 통증,4
진료 비 세부 역서 검사 항목 성병 검사 게 기재 성병 검사 건가,25
혓바늘 혀 전체,7
당분 음료 동안 당분 몸,22
거의 설사 건가,4
목 뼈 위치,4
전 파상풍 주사 팔도 목 예방주사 일 수,18
주전 소화 불량 증상 이후 의식 트림,4
망막 열공 레이저,5
피로 감 기간 혓바늘,7
근육,6
아버지 뇌출혈 건강 관리,11
뇌졸중 눈,6
띄엄 띄엄 두통 띄엄띄엄,6
대장 절제 술 간 적 복통,4
환자 바늘,18
형 간염 혈액 감염 질병 감염,4
미노 씬 취침 복용,18
목 스트레칭 두통,24
허벅지 힘,11
입술 안쪽 살,7
샤워 때,6
철분 복용,9
혈관 두통,6
주니 주변,26
몸 상태 별로 하니 스트레스,24
띄엄띄엄 두통 띄엄띄엄,6
몸 상태,24
음식물 소화,4
식 습관,4
발 지압 혈액 순환 의학 신빙,24
아침 공복 혈당,22
수액 투여 연결 부가 장시간 방치 감염 위험,18
항생제 소염제 복용,18
유산균 선택 여부 대하,4
입 혀 아주 증상,7
파상풍 백신,18
가슴 건 부분 서일,23
머리 지끈 지끈 거립니,6
목 스트레칭,11
팔 쪼 보라색 뭘,0
질문 관 식후 양제 번 다,24
콜레스테롤 수치 변화,22
양제 복용 질문,24
목 스트레칭 두통,6
손 핏줄,17
양제 복용 문의,24
치실 사용 방법,14
만성 갑상선 염 레이브 스 병일 수,22
흉곽 신경 말초신경,17
기침 고치,2
위 내시경 주의 사항,4
폐 물 물질,2
피부 다량 살충제 홈키 파 등 살포,0
글루타민 글루 타치 온 차이 더 침 강박증 증상 불안장애 위장 애도,8
가슴,23
목구멍 열,7
대장암,4
복강 수술 뱃살 사람 사람,4
식도염 약 복용,4
피임 약 복용,25
운동 단백질 섭취,24
질문 호흡 곤란,2
단백질 보충,24
우측 위 사랑니 발치 자리 양치 입냄새,14
비타 치 청소년 피 키 성장,2
식도염 생기,4
섭식장애 악화,8
철분 장기 복용,9
번 발뒤꿈치 증상 이후,20
사타구니 멍울,26
배 찟 정도 운동 키 방해,4
피부,0
중 소아 비만 내분비계,22
손 증상,28
어머니 귀 귀 주름,7
코로나 증상,2
손 증상,28
위 경후 약,4
비염 완치,7
몸 물집,0
위통 소화 장애 혹시 변인 변 사진,4
지방간 갑상선 저하 증 임신 당뇨,7
배 통증,4
증상,22
선크림 햇빛 비타민 차단,0
,6
이상 물 분유 먹이 사카 자키 균 감염 확률,18
혈변 대장암,4
무좀,22
혈변 정도,4
당뇨 환자 식당 밥,22
큐메 토론 점안액 인공 눈물,5
아르기닌 복용 얼굴 홍조,0
혈 변일 변 사진,4
폭식증 구역 인체 부작용,8
목 아픔,7
혈압,23
코 뒤쪽 목,7
다이어트 하루 끼 끼 양도 습관 건가,22
구내염 흉터,14
토 헛구역질 기분 이드,6
무릎 통증,20
갑상선기능항진증 일상생활,7
갑자기 체중,22
감기 한번,27
양제 복용 시간,24
배탈,4
입 마름 증상 원인,7
콧물 폐,2
초 중고 성적 성적 고착,8
날개 뼈,11
이비인후과 기관지 폐 검사 볼 수,7
단백뇨,28
삭 투약 부위 모기 반응,0
역류성 질환,4
목구멍,7
일전 자고 일어나서 출근 가슴 통증 유발,23
갈증,22
체 증상,4
트립토판 보충 최대 복용량,8
핫팩 피폭,11
토마토,24
위 경후,4
요새 변 간혹 변 사진,4
몸살 기운 캄,2
생리 펑소,25
소티 논 복용 방법,0
쇄골 비정상 휘었습니,20
대상포진,0
식사 등 통증 명치 통증,4
발가락 점,0
편도염 스테로이드 복용,7
마카 간수치,4
염증 수치 피부 트러블,0
단백뇨 몇번 재검 재검사 음성,28
편도결석 사람,7
임산부 변비 물변,25
점액 낭종 구내염,7
벌레,4
다리 고민,24
온 몸 두통,6
구내염,14
편도결석,7
허리 디스크,12
땀띠 물 물,24
내과 질환 허리 디스크 관계,24
이번 공무원 신체 검사 폐 사진 때 아무 기도,2
전 역류성 식도염 숨 갑갑,4
딱지 피지,0
심장 깨,23
비지 속성 심실 빈맥,23
사진 첨부 질문 남편 형 간염 비 활동,4
남편 형 간염 보균자,4
자고 입가,7
탈모 관리,0
임신,25
대장 내시경,4
형 간염 보균자 전염 경로,4
내시경 검사 이형성 협심증,23
머리,6
바디 로션 얼굴 발라,0
역류성 후두 염 약 복용 입 마름 목 갈증,7
장염 약 복용,4
가스 위,4
역류성 식도염 음식,4
대변 냄새,4
눈 밑 마그네슘 식품,6
혀 반증,0
심장,23
몸 유지 운동,11
목 가래 피,2
다리 감각 이상,6
,8
아기 머리 둘레 증 걱정,6
손목 건초염 처방 약과 소화 불량 과민성 대장 처방 약,4
명치 통증,23
경구 피임 약 부작용 문의,25
렌즈 삽일술,5
기관지 가래 증상 알,2
플라스틱 폴리 염화비닐 사용 내분비계 교란 물질,22
혈액 검사 수치,4
눈 흰자,5
혈 변일,4
한번 머리 감 때 샴푸 탈모,0
급체 피 점액,4
몸무게 생리 몸 영향,25
너클 거뭇 살갗,0
손 허리 손가락 관절 너클 피부 해지 살갗,10
복부팽 손발,4
배변 습관 항문 청결 유지 관 궁금증,1
대상포진 예방주사 부작용,18
두통 어지러움 소화 불량 식욕부진 근육통 피로 감 무기 함,24
임파선,18
식단 조절 학생 다이어트,22
혀,14
복통 조금 대변 점액 질,4
왼쪽 눈밑 광대 저림,6
칼슘 복용,22
침 때 소리 증상,4
관계 복통,25
여름철 옆구리 원인,4
소화기관,4
장염 후유증,4
이유 헛구역질,4
항우울제,8
음식 때 목 움,7
위 통증,4
장염,4
장판 검사,20
왼쪽 갈비뼈 아래 통증 심장,23
사용 시기,25
편도선 출혈,7
상 복부 음식물 정체 과 식욕부진 체중 감소 경험,4
혈당 증상,22
중성 지방 콜레스테롤,22
쌀종이 몸 키,24
경찰 체력 시험 도핑 약물,13
신생아 태열,18
어지럼증 구토 감,6
이마,6
그냥 고안압증 스테로이드 약,5
과산화수소 사람,2
아버지 발치 임플란트 예정 칼슘 약 약,14
생리 콧물같 냉,25
전 비뇨기 과 비 세균 부고환 염 약 처방 설마 성 건가,26
과산화수소,2
혹시 편도 일 가능성,7
다이어트 살 복구,0
소화 목 물감,4
사랑니,14
성관계 지금 입술 테두리 홍인 표 의원님 추가,0
복부 운동 키,11
단백뇨 몇번 재검 부탁,28
팔 곳 등 두드러기,0
복부 운동 키 영향,11
메스꺼움 더 중이 내과 예전 조금 효과 약 처방,4
입술 테두리,0
두통 소화 불량 식욕부진 수도,4
등 화끈 거림,6
초록 입 홍합,24
심장 박동,23
초록 입 홍합 어골 칼슘 동시 복용,24
등 물집,0
성격 역류성 재발 입냄새,4
스피닝,11
도비 하루 섭취 칼로리 고민,22
대장 내시경,4
대상포진,0
목젖 구내염,7
트윈스 타 복용,23
목젖 구내염,7
편도염 진단 항생제 처방 코로 나일,7
지루 피부염 접촉성 피부염,0
코피 나기 시작,7
부정맥 변 이형 협심증 진료 진짜 정신 절대 자신,23
건강검진 단백뇨,28
수면 마취 뭔,13
신장 증상 검사,28
가미 소요산 단 엑스 산 혼합 약 약 요,24
인중 밑,6
추가 편도,7
이상 협심증 변 이형 협심증 상황,23
교감 부 교감 신경,8
발치 뼈 이식 칼슘 약 약,14
피부 발진,0
때 콧볼살 조금,15
장염 난후 두통 안구 통 소화 불량 식욕부진 신경 약,4
머리 압력,6
편도염 열 날 수,7
항생제 싸이 칸 정이 변비 약 듀파락 시럽 마 밀정 복용 이유,4
착즙기,24
역류성 인후 염,4
쓸개 용종,4
왼쪽 갈비뼈 밑,13
뇌졸중 증상,6
저 수면 패턴,8
다이어트 약 부작용,22
생리 주기,25
귀가,7
변 검사 클로스 트디륨 균 검 약,4
왼쪽 가슴 찌릿,23
오른쪽 목구멍 오른쪽 가슴 부분 느낌 정말 생선 가시,4
신장 크레아티닌 수치,28
습진 부위 수,0
발 껍질 무좀,0
심근경색 증상,23
하지정맥류 판정 레이저 수술 꼭,17
방법,22
국가 건강검진 돈 추가 뇌 추가 수,6
대변 참게 약 질문,4
생리 중 관계,25
케톤 체,28
대상포진 추가,0
눈 비비 눈 모양 눈매,15
위염 식도염 관,4
대상포진,0
자고 때 심장 박동 질문,23
멍,9
샤워 일주일 몇번,0
저체중 별 말씀,22
테프 정 금단 증후 대처 법,23
생리 직전,25
명치 주변 통증,23
접종,18
위염 관,4
애 드빌 퀴겔,13
고속도로 운전 중,23
목 통증,7
부작용,25
콧속 입구 부분 아래쪽,7
역류성 인후 염 식후 몸살,4
무릎 때 정맥 류 증상 악화,17
스테로이드 연고 처방 몸 곳곳 움,0
골다공증 치료 주사 프롤리 주사 날,22
기관지염 알러지 검사,27
약 아침 저녁,24
우유 계란 이유,24
갑상선 검사,22
저체중 성장 아이 위 케어 법,24
홍인 표 원장 생리 재,25
목 감기 입안 왜,7
장염 발열 증상,4
맥박 신경,23
식후 인후 염,4
햇빛 쐐 눈 힘 뇌졸중 증상,6
역류성 식도염 밥 대신 베지밀,4
에탄올 음주 여부,4
미열 두통,6
두드러기,0
스테로이드 연고 하루 사용 해도,0
홍삼 뇌전증 유발,24
가끔 아주 가끔 가슴,23
만약 당뇨 라면 형 당뇨 일 가능성,22
역류성 후두 염,4
췌장 확인 수 부분 어디,4
명치 꽉,23
이부프로펜 협심증 환자,23
접촉성 염 스테로이드 연고,0
헤르 정 헤르 방정,23
미란 위염 데 조직검사,4
아이 작년 문 이마 생활,8
변 이형 협심증,23
변비 약 마 밀정 치질 약 치 항생제 복용,4
일반의약품 종합 비타민 기넥신 외과 처방 약 복용,17
인후 염 호흡 곤란,2
몸살,2
대장 내시경 검사 과형성 용종 데 관리 법,4
트레 스탄 캡슐 과 육군 탕,24
백혈구 수가 자꾸 감소 면역 저하 걱정,9
엊그제 복통,4
머리 자주,12
재 상담 혹시 입맛 약,24
어지럼증 재,7
입천장 혀,14
키 성장 아이 키 건강 기능 식품 주의 음식,24
공황장애 약 식도염,8
남자 자위 심장 통증,23
타이레놀 손목 건초염 약 복용,13
,25
역류성 식도염 증상,4
이어폰 블루투스 이어폰,7
자고 기분,23
키 성장 건강 기능 식품 주의 음식,24
아이 목 아픔 종합 감기 약,7
식도염 수도,4
두피 두드러기,0
테프 정 감량 복용 중단 방법,23
한번 에탄올 성분 자체 혈중 알콜 농도 전혀 지장 주지,4
발톱 무좀,0
주 생선 조기 가시,4
식도염,4
근막 통증 증후군,24
눈,5
승 모판 역류,23
거품뇨 동안,26
,24
초 어른 마스크 팩,0
귀마개 착용 압력 귀가 더,7
생리,25
조기 가슴 점 뜾었는데 피 해,0
구토 몸,4
인후 염일 수,7
당뇨 환자,22
발등 하체 전체 실핏줄,17
새우 껍질 목,4
에탄올 음주 측정,4
자율신경계 가요 과민성 대장,4
기절놀이 뇌손상,6
사타구니 안쪽 멍울,26
목 질문 기도,4
헤르페스 증상 검사,18
생리 사후 피임 약 부정 출혈,25
생리 사후 피임 약 복용 부정 출혈,25
과민성 대장 설사 가스,4
햇빛 피부,0
레브 렉스,13
알러지 비염 상담,7
포진,0
발바닥 피부염,0
열 코로나 검사,2
과음 손실,11
편도염 때 열 날 수,7
숨 덜,2
흉추 퇴행 진단,12
다이어트,22
앞 보이 힘,6
머리 때 마다 통수 멍 곳 꾹 꽉 통증 목 전혀,6
저번 편도염 이번,7
목 느낌 질문,7
나이 흉추 퇴 행성,11
위 내시경 길항제,4
마그네슘 섭취 비타민 칼슘 섭취,22
맥박 숨 식은땀 감 과 진료,23
애 무릎 피 안통 거뭇거뭇,20
주 심장 재,23
종근당 아이 키 성장,24
사람 몸 바이러스,18
사람 피 요소 요산 존재,28
남아 계란 두드러기,0
당뇨 환자 과일,22
주 심장,23
흑색종,0
종근당 아이 키 성장,24
눈썹 뼈 통증 시작,7
급 체중 증가 불면증 재,8
추가 피임 약,25
양제,24
유산균 적응 시간,4
급 체중 증가 불면증,8
입천장 목구멍 움,7
마그네슘 때 비타민 칼슘 꼭,22
항문 물이,4
향수 생리 컵,25
유산균 몸,4
테아닌,25
트름할 때,4
아이 속,4
목 승 모근 감 현상,24
혈압 약 약 용량,23
구내염 일종,7
혈압 약,23
경동맥 등 에코 경화,23
백초 시럽,24
소변 단백뇨 검사,28
두부 외상 두통,12
생리,25
잔기침,2
칫솔 주기,14
발,20
명치 오른쪽 통증 추가,13
명치 오른쪽 통증 추가 문의,13
위 내시경 초음파 검사 시간 이유,4
담석 질문,4
피멍 건가,0
아르기닌 액체 더 몸 흡수,24
속 감,4
초록 입 홍합 호로 몬 영향,25
가래 피,2
눈 충혈 간이 한쪽 눈 충혈,28
폐 부위 욱씬 거립니,2
눈 상태,5
왼쪽 가슴 숨 쉬 호흡 곤란,23
호흡 곤란 재 병원 방문,2
추가 선생님 위염 생각,4
기침 증상,2
명치 오른쪽 아래 부분,13
기침 질문 환자,2
콜레스테롤 오메가,22
